year,month,total_rides_month,average_daily_rides,days_in_month
2019,3,38286316,1235042.4516129033,31
2019,4,38322529,1277417.6333333333,30
2019,5,40351838,1301672.1935483871,31
2019,6,38578037,1285934.5666666667,30
2019,7,39007815,1258316.6129032257,31
2019,8,39349666,1269344.064516129,31
2019,9,40035897,1334529.9,30
2019,10,42383146,1367198.2580645161,31
2019,11,36752772,1225092.4,30
2019,12,34517194,1113457.8709677418,31
2020,1,36663540,1182694.8387096773,31
2020,2,35328884,1218237.3793103448,29
2020,3,23135120,746294.1935483871,31
2020,4,8118262,270608.73333333334,30
2020,5,9057927,292191.1935483871,31
2020,6,10286826,342894.2,30
2020,7,12863488,414951.22580645164,31
2020,8,12801493,412951.3870967742,31
2020,9,13149933,438331.1,30
2020,10,13637151,439908.0967741936,31
2020,11,11308846,376961.5333333333,30
2020,12,11148321,359623.2580645161,31
2021,1,10785643,347923.96774193546,31
2021,2,10459292,373546.14285714284,28
2021,3,13595095,438551.4516129032,31
2021,4,13868676,462289.2,30
2021,5,14922431,481368.7419354839,31
2021,6,16603301,553443.3666666667,30
2021,7,18592600,599761.2903225806,31
2021,8,19010876,613254.0645161291,31
2021,9,21047016,701567.2,30
2021,10,20934903,675319.4516129033,31
2021,11,18944612,631487.0666666667,30
2021,12,17216125,555358.8709677419,31
2022,1,14336716,462474.70967741933,31
2022,2,16264298,580867.7857142857,28
2022,3,20521598,661987.0322580645,31
2022,4,19799880,659996.0,30
2022,5,21178010,683161.6129032258,31
2022,6,21403521,713450.7,30
2022,7,20905053,674356.5483870967,31
2022,8,22291312,719074.5806451613,31
2022,9,23466609,782220.3,30
2022,10,23576296,760525.6774193548,31
2022,11,20934640,697821.3333333334,30
2022,12,18860877,608415.3870967742,31
2023,1,19871252,641008.1290322581,31
2023,2,19366395,691656.9642857143,28
2023,3,22890408,738400.2580645161,31
2023,4,21987421,732914.0333333333,30
2023,5,24283993,783354.6129032258,31
2023,6,23590750,786358.3333333334,30
2023,7,23019457,742563.1290322581,31
2023,8,25640312,827106.8387096775,31
2023,9,25853360,861778.6666666666,30
2023,10,26752333,862978.4838709678,31
2023,11,23815456,793848.5333333333,30
2023,12,22075361,712108.4193548387,31
2024,1,21435348,691462.8387096775,31
2024,2,23708494,817534.275862069,29
2024,3,24901491,803273.9032258064,31
2024,4,26073550,869118.3333333334,30
2024,5,27698042,893485.2258064516,31
2024,6,25671440,855714.6666666666,30
2024,7,26586642,857633.6129032258,31
2024,8,27279293,879977.1935483871,31
2024,9,27827069,927568.9666666667,30
2024,10,30145065,972421.4516129033,31
2024,11,25012893,833763.1,30
2024,12,22857707,737345.3870967742,31
2025,1,22914454,739175.9354838709,31
2025,2,22506933,803819.0357142857,28
2025,3,26233601,846245.1935483871,31
2025,4,27529294,917643.1333333333,30
2025,5,28133019,907516.7419354839,31
2025,6,26925815,897527.1666666666,30
2025,7,27811183,897134.9354838709,31
2025,8,29234066,943034.3870967742,31
2025,9,29453711,981790.3666666667,30
2025,10,30451035,982291.4516129033,31
2025,11,24880679,829355.9666666667,30
